Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,VMA_20,VROC_10,OBV,VPT,MACD,MACD_Signal,MACD_Histogram,RSI,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,%K,%D,TR,+DM,-DM,TR_Smooth,+DM_Smooth,-DM_Smooth,+DI,-DI,DX,ADX,Williams_R,CCI,ATR,Sinyal,Alasan,Skor_Sinyal
2025-05-21 00:00:00+07:00,2070.0,2090.0,2000.0,2020.0,9153300,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,50.0,,,,2020.0,2020.0,,,,,0.5,50.0,50.0,,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-22 00:00:00+07:00,2040.0,2050.0,1985.0,2020.0,9278800,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,50.0,,,,2020.0,2020.0,,,,,0.5,50.0,50.0,65.0,0.0,15.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-23 00:00:00+07:00,2010.0,2030.0,2000.0,2020.0,4489800,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,50.0,,,,2020.0,2020.0,,,,,0.5,50.0,50.0,30.0,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-26 00:00:00+07:00,2020.0,2030.0,1880.0,1880.0,13554400,0.0,0.0,,0.0,-13554400,-939413.8613861387,-11.168091168090996,-2.2336182336181993,-8.934472934472797,50.0,,,,1998.4615384615386,2009.6296296296296,,,,,0.5,50.0,50.0,150.0,0.0,120.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-27 00:00:00+07:00,1900.0,1915.0,1850.0,1850.0,12553300,0.0,0.0,,0.0,-26107700,-1139732.4784074153,-22.183910844879392,-6.2236767558704384,-15.960234089008953,50.0,,,,1975.621301775148,1997.8052126200273,,,,,0.5,50.0,50.0,65.0,0.0,30.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-28 00:00:00+07:00,1850.0,1870.0,1800.0,1830.0,8975600,0.0,0.0,,0.0,-35083300,-1236765.991920929,-32.157172291424104,-11.410375862981173,-20.74679642844293,50.0,,,,1953.2180245789714,1985.3751968703955,,,,,0.5,50.0,50.0,70.0,0.0,50.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-02 00:00:00+07:00,1830.0,1895.0,1815.0,1835.0,13479400,0.0,0.0,,0.0,-21603900,-1199937.030172295,-39.20565721630783,-16.969432133646503,-22.236225082661324,50.0,,,,1935.0306361822065,1974.2362933985144,,,,,0.5,50.0,50.0,80.0,25.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-03 00:00:00+07:00,1850.0,1860.0,1740.0,1740.0,13146400,0.0,0.0,,0.0,-34750300,-1880540.8448861914,-51.85953392707074,-23.94745249233135,-27.91208143473939,50.0,,,,1905.0259229234055,1956.8854568504762,,,,,0.5,50.0,50.0,120.0,0.0,75.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-04 00:00:00+07:00,1745.0,1760.0,1655.0,1655.0,13284100,0.0,0.0,,0.0,-48034400,-2529476.7644264214,-67.96317483804387,-32.75059696147386,-35.21257787657001,50.0,,,,1866.5603963198046,1934.5235711578484,,,,,0.5,50.0,50.0,105.0,0.0,85.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-05 00:00:00+07:00,1655.0,1730.0,1650.0,1665.0,9896800,0.0,0.0,,0.0,-38137600,-2469677.3686560285,-79.00775760489682,-42.00202909015846,-37.005728514738365,50.0,,,,1835.5511045782962,1914.558862183193,,,,,0.5,50.0,50.0,80.0,0.0,5.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
