Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,VMA_20,VROC_10,OBV,VPT,MACD,MACD_Signal,MACD_Histogram,RSI,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,%K,%D,TR,+DM,-DM,TR_Smooth,+DM_Smooth,-DM_Smooth,+DI,-DI,DX,ADX,Williams_R,CCI,ATR,Sinyal,Alasan,Skor_Sinyal
2025-05-21 00:00:00+07:00,83.0,84.0,82.0,84.0,17277800,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,50.0,,,,84.0,84.0,,,,,0.5,50.0,50.0,,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-22 00:00:00+07:00,84.0,84.0,82.0,82.0,13880600,0.0,0.0,,0.0,-13880600,-330490.47619047615,-0.15954415954415424,-0.03190883190883085,-0.1276353276353234,50.0,,,,83.6923076923077,83.85185185185185,,,,,0.5,50.0,50.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-23 00:00:00+07:00,83.0,84.0,82.0,82.0,4167600,0.0,0.0,,0.0,-13880600,-330490.47619047615,-0.2827249778816707,-0.08207206110339883,-0.2006529167782719,50.0,,,,83.4319526627219,83.71467764060357,,,,,0.5,50.0,50.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-26 00:00:00+07:00,82.0,86.0,81.0,83.0,13394600,0.0,0.0,,0.0,-486000,-167141.69570267128,-0.2962401491958815,-0.12490567872189537,-0.17133447047398612,50.0,,,,83.36549840691853,83.66173855611441,,,,,0.5,50.0,50.0,5.0,2.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-27 00:00:00+07:00,83.0,84.0,75.0,82.0,20877600,0.0,0.0,,0.0,-21363600,-418679.0451002617,-0.38322508228598906,-0.1765695594347141,-0.20665552285127495,50.0,,,,83.15542172893106,83.53864681121705,,,,,0.5,50.0,50.0,9.0,0.0,6.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-05-28 00:00:00+07:00,82.0,86.0,82.0,82.0,18314400,0.0,0.0,,0.0,-21363600,-418679.0451002617,-0.4470084334843847,-0.23065733424464824,-0.21635109923973644,50.0,,,,82.97766453986473,83.42467297334912,,,,,0.5,50.0,50.0,4.0,2.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-02 00:00:00+07:00,82.0,83.0,75.0,80.0,10877000,0.0,0.0,,0.0,-32240600,-683971.7280270909,-0.6514311908793076,-0.3148121055715801,-0.33661908530772744,50.0,,,,82.51956230296247,83.17099349384178,,,,,0.5,50.0,50.0,8.0,0.0,7.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-03 00:00:00+07:00,80.0,80.0,77.0,79.0,16144400,0.0,0.0,,0.0,-48385000,-885776.7280270909,-0.8839398333866768,-0.4286376511345995,-0.4553021822520773,50.0,,,,81.97809117942978,82.86203101281646,,,,,0.5,50.0,50.0,3.0,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-04 00:00:00+07:00,79.0,81.0,77.0,80.0,18241200,0.0,0.0,,0.0,-30143800,-654875.4622043062,-0.9762592560532966,-0.5381619721183389,-0.4380972839349576,50.0,,,,81.6737694595175,82.6500287155708,,,,,0.5,50.0,50.0,4.0,1.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-05 00:00:00+07:00,80.0,80.0,78.0,80.0,14087200,0.0,0.0,,0.0,-30143800,-654875.4622043062,-1.0374638264495957,-0.6380223429845903,-0.3994414834650054,50.0,,,,81.41626646574558,82.45373029219517,,,,,0.5,50.0,50.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-10 00:00:00+07:00,79.0,86.0,78.0,84.0,25436200,0.0,0.0,,47.21897463797474,-4707600,616934.5377956938,-0.754504856515652,-0.6613188456908027,-0.09318601082484934,50.0,,,,81.81376393255395,82.5682687890696,,,,,0.5,50.0,50.0,8.0,6.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-11 00:00:00+07:00,84.0,84.0,82.0,83.0,11349700,0.0,0.0,,-18.2333616702448,-16057300,481819.06160521763,-0.6039870896840398,-0.6498524944894501,0.04586540480541035,50.0,,,,81.99626178908412,82.60024887876816,,,,,0.5,50.0,50.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
2025-06-12 00:00:00+07:00,83.0,108.0,82.0,103.0,269608700,0.0,0.0,,6369.1597082253575,253551400,65447770.86883413,1.1162645748100601,-0.29662908062954807,1.4128936554396083,50.0,,,,85.22760612922502,84.11134155441496,,,,,0.5,50.0,50.0,26.0,24.0,0.0,,,,0.0,0.0,,0.0,-50.0,0.0,0.0,Tahan,,0
